assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
37,17,34,0.0,5,39,27,Kucherov,1,12,8476453,-1,64,1.6410200000000001,R,10,30,20232024,0,0,0.15606,L,173,Nikita Kucherov,TBL,1304.2307
42,17,38,0.48946000000000006,4,39,22,MacKinnon,2,28,8477492,12,64,1.6410200000000001,C,5,26,20232024,0,0,0.125,R,176,Nathan MacKinnon,COL,1373.1794
30,16,31,0.28571,3,37,23,Pastrnak,0,35,8477956,10,53,1.43243,R,7,22,20232024,0,0,0.12432000000000001,R,185,David Pastrnak,BOS,1185.2702
39,10,34,0.50127,0,33,14,McDavid,0,16,8478402,9,53,1.60606,C,4,19,20232024,0,0,0.14583000000000002,L,96,Connor McDavid,EDM,1279.9393
29,16,30,0.14285,2,37,24,Panarin,0,12,8478550,2,53,1.43243,L,8,23,20232024,0,0,0.15894000000000003,R,151,Artemi Panarin,NYR,1189.8108
32,11,30,0.37500000000000006,3,36,19,Nylander,1,8,8477939,3,51,1.41666,R,6,18,20232024,2,3,0.12025000000000001,R,158,William Nylander,TOR,1224.0
34,8,27,0.53846,3,38,16,Miller,0,24,8476468,13,50,1.31578,C,7,22,20232024,1,1,0.19277000000000002,L,83,J.T. Miller,VAN,1189.3157
28,12,25,0.525,5,39,20,Rantanen,0,18,8478420,4,48,1.23076,R,8,23,20232024,0,0,0.14925000000000002,L,134,Mikko Rantanen,COL,1378.1282
22,11,29,0.45112,6,38,25,Reinhart,1,17,8477933,15,47,1.23684,C,12,16,20232024,2,2,0.25773,R,97,Sam Reinhart,FLA,1217.7368
36,9,29,,2,38,10,Hughes,1,18,8480800,25,46,1.21052,D,1,17,20232024,0,0,0.10416,L,96,Quinn Hughes,VAN,1475.1578
15,22,31,0.51993,1,35,30,Matthews,1,2,8479318,7,45,1.28571,C,8,13,20232024,0,1,0.18867,L,159,Auston Matthews,TOR,1290.4285
30,9,26,0.48235000000000006,4,38,15,Pettersson,0,2,8480012,9,45,1.18421,C,6,18,20232024,0,1,0.14705000000000001,L,102,Elias Pettersson,VAN,1181.0
37,4,22,,0,34,8,Makar,0,12,8480069,10,45,1.32352,D,4,20,20232024,0,3,0.08080000000000001,R,99,Cale Makar,COL,1470.7352
30,10,24,0.37133000000000005,3,31,15,Hughes,2,10,8481559,-4,45,1.45161,C,5,21,20232024,0,0,0.11029000000000001,L,136,Jack Hughes,NJD,1228.9354
24,17,28,0.61538,4,39,19,Forsberg,3,24,8476887,4,43,1.10256,L,2,15,20232024,0,0,0.12666000000000002,R,150,Filip Forsberg,NSH,1118.7692
25,15,34,0.21428000000000003,2,37,18,Guentzel,0,12,8477404,11,43,1.16216,L,3,9,20232024,0,0,0.13533,L,133,Jake Guentzel,PIT,1246.7567
28,10,23,0.53995,4,35,15,Aho,1,16,8478427,8,43,1.22857,C,4,18,20232024,1,2,0.14423000000000002,L,104,Sebastian Aho,CAR,1166.4285
29,8,23,0.27272,4,36,14,Bratt,0,8,8479407,-2,43,1.19444,L,6,20,20232024,0,0,0.14285,L,98,Jesper Bratt,NJD,1134.4444
24,10,25,0.5636000000000001,3,35,18,Draisaitl,0,48,8477934,0,42,1.2,C,8,16,20232024,0,1,0.17307,L,104,Leon Draisaitl,EDM,1266.2857
19,16,31,0.61051,3,37,22,Crosby,0,20,8471675,15,41,1.1081,C,6,10,20232024,0,0,0.17054000000000002,L,129,Sidney Crosby,PIT,1195.4054
25,14,34,0.54027,2,37,16,Thomas,0,14,8480023,14,41,1.1081,C,1,5,20232024,1,2,0.2,R,80,Robert Thomas,STL,1248.6486
23,10,25,0.44837000000000005,4,40,17,Point,0,8,8478010,-10,40,1.0,C,7,15,20232024,0,0,0.15596000000000002,R,109,Brayden Point,TBL,1215.425
24,11,27,0.44027000000000005,4,39,16,Eichel,1,10,8478403,2,40,1.02564,C,5,12,20232024,0,1,0.1,R,160,Jack Eichel,VGK,1238.5897
33,3,22,,1,38,6,Hedman,0,24,8475167,-5,39,1.02631,D,3,17,20232024,0,0,0.07692,L,78,Victor Hedman,TBL,1462.0263
28,10,27,0.54223,2,35,11,Barkov,0,12,8477493,20,39,1.11428,C,1,11,20232024,0,1,0.10784,L,102,Aleksander Barkov,FLA,1156.5428
15,15,27,0.4,3,38,24,Boeser,0,4,8478444,11,39,1.02631,R,9,12,20232024,0,0,0.233,R,103,Brock Boeser,VAN,1127.8157
29,7,26,0.38095,2,37,10,Barzal,1,20,8478445,6,39,1.05405,C,3,13,20232024,0,0,0.09090000000000001,R,110,Mathew Barzal,NYI,1155.6486
25,11,28,0.2,2,36,14,Marner,0,14,8478483,4,39,1.08333,R,3,11,20232024,0,0,0.15730000000000002,R,89,Mitchell Marner,TOR,1290.8333
22,9,17,0.51459,1,37,16,Stamkos,0,22,8474564,-16,38,1.02702,C,7,21,20232024,0,0,0.14414000000000002,R,111,Steven Stamkos,TBL,1111.2702
26,6,22,0.0,4,39,12,Stone,1,18,8475913,-4,38,0.97435,R,4,13,20232024,2,3,0.15000000000000002,R,80,Mark Stone,VGK,1167.3589
24,7,17,0.5191100000000001,1,37,14,Zibanejad,1,24,8476459,5,38,1.02702,C,6,19,20232024,1,2,0.15555000000000002,R,90,Mika Zibanejad,NYR,1147.1081
22,10,26,0.48939000000000005,2,37,16,Horvat,1,18,8477500,10,38,1.02702,C,6,11,20232024,0,1,0.14814000000000002,L,108,Bo Horvat,NYI,1157.1891
19,9,23,0.5,3,37,19,Nichushkin,0,18,8477501,9,38,1.02702,R,10,13,20232024,0,2,0.17117000000000002,L,111,Valeri Nichushkin,COL,1304.4594
21,10,25,0.47368000000000005,1,39,17,DeBrincat,0,17,8479337,0,38,0.97435,R,7,13,20232024,0,0,0.13821,R,123,Alex DeBrincat,DET,1099.9487
32,5,22,,2,38,6,Dobson,0,16,8480865,19,38,1.0,D,1,15,20232024,0,1,0.06896000000000001,R,87,Noah Dobson,NYI,1551.6842
15,16,28,0.33333,3,34,22,Hyman,0,32,8475786,12,37,1.08823,L,6,9,20232024,0,0,0.17322,R,127,Zach Hyman,EDM,1173.7647
25,8,27,0.49289000000000005,2,37,12,Scheifele,1,26,8476460,14,37,1.0,C,4,10,20232024,0,0,0.13793000000000002,R,87,Mark Scheifele,WPG,1252.5945
25,9,26,,1,37,12,Robertson,0,8,8480027,3,37,1.0,L,3,11,20232024,0,0,0.11428,L,105,Jason Robertson,DAL,1093.3513
27,4,23,0.62255,3,37,9,Trocheck,1,35,8476389,4,36,0.9729700000000001,C,5,13,20232024,0,0,0.10112,R,89,Vincent Trocheck,NYR,1248.8918
25,9,22,0.43873,2,35,11,Nugent-Hopkins,0,22,8476454,8,36,1.02857,C,2,12,20232024,0,2,0.14285,L,77,Ryan Nugent-Hopkins,EDM,1195.8857
16,15,27,0.40909,4,38,20,Verhaeghe,1,14,8477409,7,36,0.9473600000000001,C,5,9,20232024,0,0,0.15151,L,132,Carter Verhaeghe,FLA,1058.921
27,5,19,,3,35,9,Bouchard,0,12,8480803,2,36,1.02857,D,4,17,20232024,0,0,0.08653000000000001,R,104,Evan Bouchard,EDM,1361.0
20,7,24,0.50331,2,37,15,Pavelski,1,10,8470794,2,35,0.9459400000000001,C,8,11,20232024,0,0,0.16666,R,90,Joe Pavelski,DAL,996.0
21,8,24,0.57947,3,35,14,Kopitar,0,6,8471685,16,35,1.0,C,6,10,20232024,0,1,0.2,L,70,Anze Kopitar,LAK,1166.2571
20,9,16,0.37142000000000003,4,37,15,Marchand,1,39,8473419,1,35,0.9459400000000001,L,5,18,20232024,1,1,0.14150000000000001,L,106,Brad Marchand,BOS,1167.9189
15,9,20,0.33333,5,37,20,Kreider,1,10,8475184,8,35,0.9459400000000001,L,9,12,20232024,2,3,0.2,L,100,Chris Kreider,NYR,1098.3513
21,12,25,0.25,1,35,14,Kempe,0,34,8477960,18,35,1.0,R,1,9,20232024,1,1,0.125,L,112,Adrian Kempe,LAK,1116.1142
15,14,28,0.30555000000000004,1,38,20,Konecny,0,38,8478439,13,35,0.92105,R,2,3,20232024,4,4,0.16,R,125,Travis Konecny,PHI,1147.2631
23,10,27,0.5669200000000001,6,36,11,Duchene,2,8,8475168,13,34,0.9444400000000001,C,1,7,20232024,0,0,0.1358,L,81,Matt Duchene,DAL,1031.5555
21,8,19,0.0,3,34,13,Kaprizov,2,14,8478864,1,34,1.0,L,5,15,20232024,0,0,0.11818000000000001,L,110,Kirill Kaprizov,MIN,1266.5588
22,6,18,0.5580900000000001,0,38,12,Suzuki,0,10,8480018,-9,34,0.89473,C,6,16,20232024,0,0,0.13186,R,91,Nick Suzuki,MTL,1265.5526
27,7,26,0.44488000000000005,2,34,7,Stützle,2,12,8482116,0,34,1.0,C,0,8,20232024,0,0,0.0707,L,99,Tim Stützle,OTT,1305.0
18,5,16,0.52412,1,39,15,O'Reilly,0,8,8475158,1,33,0.8461500000000001,C,10,17,20232024,0,0,0.16304000000000002,L,92,Ryan O'Reilly,NSH,1195.5128
21,8,23,0.60736,4,36,12,Tavares,1,8,8475166,2,33,0.91666,C,4,10,20232024,0,0,0.08571000000000001,L,140,John Tavares,TOR,1114.8333
16,11,20,0.46976,1,38,17,Nelson,0,16,8475754,-6,33,0.8684200000000001,C,5,12,20232024,1,1,0.13492,L,126,Brock Nelson,NYI,1049.2631
26,4,20,,0,39,7,Dunn,0,43,8478407,-3,33,0.8461500000000001,D,3,12,20232024,0,1,0.09333000000000001,L,75,Vince Dunn,SEA,1399.9743
18,9,21,0.53461,2,35,15,Hintz,1,10,8478449,8,33,0.9428500000000001,C,5,10,20232024,1,2,0.17857,L,84,Roope Hintz,DAL,1031.7714
22,10,29,0.47855000000000003,0,39,11,Mittelstadt,0,20,8479999,7,33,0.8461500000000001,C,1,4,20232024,0,0,0.1746,L,63,Casey Mittelstadt,BUF,1132.1282
18,14,25,0.4006,2,38,15,Bedard,1,12,8484144,-22,33,0.8684200000000001,C,1,8,20232024,0,0,0.12711,R,118,Connor Bedard,CHI,1169.2894
