assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
87,26,80,0.0,8,82,41,Kucherov,0,62,8476453,24,128,1.5609700000000002,R,15,48,20182019,0,0,0.16666,L,246,Nikita Kucherov,TBL,1197.9268
83,22,63,1.0,4,82,30,Kucherov,0,36,8476453,-2,113,1.37804,R,8,50,20222023,0,0,0.1107,L,271,Nikita Kucherov,TBL,1207.939
52,29,60,0.0,6,68,33,Kucherov,3,38,8476453,26,85,1.25,R,4,25,20192020,0,0,0.15714,L,210,Nikita Kucherov,TBL,1131.7941
44,16,39,1.0,1,47,25,Kucherov,0,22,8476453,1,69,1.46808,R,9,30,20212022,0,0,0.16025,L,156,Nikita Kucherov,TBL,1198.9787
69,30,77,0.44434,9,71,42,MacKinnon,2,30,8477492,29,111,1.56338,C,12,34,20222023,0,0,0.11475,R,366,Nathan MacKinnon,COL,1339.0422
58,29,62,0.43702,6,82,41,MacKinnon,1,34,8477492,20,99,1.20731,C,12,37,20182019,0,0,0.11232,R,365,Nathan MacKinnon,COL,1325.4878
58,23,62,0.43095000000000006,4,69,35,MacKinnon,2,12,8477492,13,93,1.34782,C,12,31,20192020,0,0,0.11006,R,318,Nathan MacKinnon,COL,1273.3478
56,25,61,0.45379,5,65,32,MacKinnon,1,42,8477492,22,88,1.35384,C,7,27,20212022,0,0,0.10702,R,299,Nathan MacKinnon,COL,1263.6615
45,12,40,0.48478000000000004,2,48,20,MacKinnon,0,37,8477492,22,65,1.35416,C,8,25,20202021,0,0,0.09708000000000001,R,206,Nathan MacKinnon,COL,1221.8541
52,43,76,0.42105000000000004,13,82,61,Pastrnak,4,38,8477956,34,113,1.37804,R,18,37,20222023,0,0,0.14987,R,407,David Pastrnak,BOS,1173.8658
47,28,57,0.38888000000000006,10,70,48,Pastrnak,1,40,8477956,21,95,1.35714,R,20,38,20192020,0,0,0.17204000000000003,R,279,David Pastrnak,BOS,1137.6428
43,21,48,0.33333,4,66,38,Pastrnak,0,32,8477956,6,81,1.22727,R,17,33,20182019,0,0,0.1617,R,235,David Pastrnak,BOS,1125.2272
37,25,51,0.33333,9,72,40,Pastrnak,1,20,8477956,13,77,1.06944,R,15,26,20212022,0,0,0.1282,R,312,David Pastrnak,BOS,1116.4583
28,14,34,0.28571,3,48,20,Pastrnak,0,24,8477956,10,48,1.0,R,6,14,20202021,0,0,0.11363000000000001,R,176,David Pastrnak,BOS,1116.8541
89,39,75,0.5192800000000001,11,82,64,McDavid,2,36,8478402,22,153,1.86585,C,21,71,20222023,4,7,0.18181000000000003,L,352,Connor McDavid,EDM,1343.1341
79,34,78,0.5372800000000001,9,80,44,McDavid,4,45,8478402,28,123,1.5375,C,10,44,20212022,0,1,0.14012000000000002,L,314,Connor McDavid,EDM,1323.975
75,31,81,0.46623000000000003,9,78,41,McDavid,3,20,8478402,3,116,1.48717,C,9,33,20182019,1,2,0.17083,L,240,Connor McDavid,EDM,1370.2307
72,24,68,0.49529000000000006,11,56,33,McDavid,2,20,8478402,21,105,1.875,C,9,37,20202021,0,0,0.165,L,200,Connor McDavid,EDM,1329.2142
63,23,54,0.47761000000000003,6,64,34,McDavid,0,28,8478402,-6,97,1.5156200000000002,C,11,43,20192020,0,0,0.16037,L,212,Connor McDavid,EDM,1311.9375
74,17,59,0.5,5,75,22,Panarin,1,18,8478550,21,96,1.28,L,5,37,20212022,0,0,0.12429000000000001,R,177,Artemi Panarin,NYR,1152.8933
63,25,71,0.5,4,69,32,Panarin,0,20,8478550,36,95,1.37681,L,7,24,20192020,0,0,0.15311000000000002,R,209,Artemi Panarin,NYR,1236.2318
63,20,56,0.31578,4,82,29,Panarin,1,36,8478550,4,92,1.12195,L,9,36,20222023,0,0,0.14215,R,204,Artemi Panarin,NYR,1176.4634
59,22,69,0.25,8,79,28,Panarin,4,23,8478550,14,87,1.10126,L,6,18,20182019,0,0,0.14659000000000003,R,191,Artemi Panarin,CBJ,1191.3924
41,12,40,0.0,1,42,17,Panarin,0,6,8478550,14,58,1.38095,L,5,18,20202021,0,0,0.16037,R,106,Artemi Panarin,NYR,1178.5714
47,31,59,0.42372000000000004,5,82,40,Nylander,3,28,8477939,10,87,1.06097,R,9,28,20222023,0,0,0.13651000000000002,R,293,William Nylander,TOR,1112.5243
46,21,49,0.52307,7,81,34,Nylander,2,16,8477939,-9,80,0.98765,R,13,31,20212022,0,0,0.13281,R,256,William Nylander,TOR,1096.3333
28,22,42,0.5,7,68,31,Nylander,1,12,8477939,-2,59,0.8676400000000001,R,9,17,20192020,0,0,0.15736,R,197,William Nylander,TOR,1092.5147
25,13,31,0.5652100000000001,2,51,17,Nylander,1,16,8477939,10,42,0.82352,R,4,11,20202021,0,0,0.12781,R,133,William Nylander,TOR,996.0392
20,6,21,0.5516300000000001,0,54,7,Nylander,0,16,8477939,-4,27,0.5,R,1,6,20182019,0,0,0.053840000000000006,R,130,William Nylander,TOR,930.9444
67,24,59,0.54095,6,80,32,Miller,3,47,8476468,15,99,1.2375,C,8,38,20212022,0,2,0.15533000000000002,L,206,J.T. Miller,VAN,1264.6125
50,16,43,0.54966,3,81,32,Miller,1,60,8476468,-7,82,1.01234,C,11,30,20222023,5,9,0.14349,L,223,J.T. Miller,VAN,1240.7777
45,18,45,0.59192,3,69,27,Miller,1,47,8476468,11,72,1.04347,C,9,25,20192020,0,2,0.16363000000000003,L,165,J.T. Miller,VAN,1206.1739
34,9,27,0.49427000000000004,4,75,13,Miller,0,30,8476468,8,47,0.6266600000000001,C,4,20,20182019,0,0,0.12037,L,108,J.T. Miller,TBL,879.8933
31,11,27,0.53041,4,53,15,Miller,2,43,8476468,-7,46,0.86792,C,3,18,20202021,1,1,0.14150000000000001,L,106,J.T. Miller,VAN,1257.9245
50,42,68,0.49006000000000005,9,82,55,Rantanen,3,82,8478420,15,105,1.28048,R,13,37,20222023,0,0,0.17973,L,306,Mikko Rantanen,COL,1333.4512
56,20,57,0.46327,2,75,36,Rantanen,0,56,8478420,35,92,1.22666,R,16,35,20212022,0,0,0.14173000000000002,L,254,Mikko Rantanen,COL,1259.0933
56,15,54,0.36956000000000006,4,74,31,Rantanen,1,54,8478420,13,87,1.17567,R,16,33,20182019,0,0,0.16062,L,193,Mikko Rantanen,COL,1250.5135
36,21,42,0.5,7,52,30,Rantanen,0,34,8478420,30,66,1.26923,R,9,24,20202021,0,0,0.16949,L,177,Mikko Rantanen,COL,1195.0769
22,11,27,0.5866600000000001,5,42,19,Rantanen,0,14,8478420,-2,41,0.9761900000000001,R,8,14,20192020,0,0,0.17757,L,107,Mikko Rantanen,COL,1136.9761
49,17,49,0.48467000000000005,6,78,33,Reinhart,0,13,8477933,25,82,1.05128,C,16,31,20212022,0,2,0.17741,R,186,Sam Reinhart,FLA,1065.5256
36,15,37,0.50643,5,82,31,Reinhart,1,12,8477933,-12,67,0.8170700000000001,C,16,27,20222023,0,3,0.13656000000000001,R,227,Sam Reinhart,FLA,1186.8658
43,20,50,0.35632,1,82,22,Reinhart,0,16,8477933,-10,65,0.79268,C,2,15,20182019,0,0,0.12222000000000001,R,180,Sam Reinhart,BUF,1137.4634
28,17,38,0.35714,2,69,22,Reinhart,0,20,8477933,-15,50,0.7246300000000001,C,5,12,20192020,0,0,0.15277000000000002,R,144,Sam Reinhart,BUF,1237.7101
15,15,24,0.45652000000000004,5,54,25,Reinhart,0,10,8477933,-28,40,0.7407400000000001,C,10,16,20202021,0,0,0.19230000000000003,R,130,Sam Reinhart,BUF,1172.3333
69,5,41,,0,78,7,Hughes,0,34,8480800,15,76,0.97435,D,2,34,20222023,0,1,0.045450000000000004,L,154,Quinn Hughes,VAN,1539.6666
60,8,35,,1,76,8,Hughes,1,28,8480800,10,68,0.89473,D,0,31,20212022,0,2,0.05333,L,150,Quinn Hughes,VAN,1515.0921
45,5,28,,2,68,8,Hughes,1,22,8480800,-10,53,0.77941,D,3,25,20192020,0,0,0.06349,L,126,Quinn Hughes,VAN,1313.0735
38,3,22,,0,56,3,Hughes,0,22,8480800,-24,41,0.73214,D,0,19,20202021,0,0,0.030610000000000002,L,98,Quinn Hughes,VAN,1368.2678
3,0,1,,0,5,0,Hughes,0,2,8480800,0,3,0.6000000000000001,D,0,2,20182019,0,0,0.0,L,6,Quinn Hughes,VAN,1084.8
46,44,77,0.5622400000000001,10,73,60,Matthews,2,18,8479318,20,106,1.45205,C,16,29,20212022,0,0,0.17241,L,348,Auston Matthews,TOR,1236.5479
45,27,57,0.5243,8,74,40,Matthews,0,20,8479318,31,85,1.14864,C,13,28,20222023,0,0,0.12232000000000001,L,327,Auston Matthews,TOR,1216.7027
33,35,55,0.55,5,70,47,Matthews,0,8,8479318,19,80,1.14285,C,12,25,20192020,0,0,0.16206,L,290,Auston Matthews,TOR,1258.1714
36,25,53,0.5214000000000001,5,68,37,Matthews,2,12,8479318,-9,73,1.07352,C,12,20,20182019,0,0,0.14741,L,251,Auston Matthews,TOR,1113.2941
25,31,53,0.51903,12,52,41,Matthews,2,10,8479318,21,66,1.26923,C,10,13,20202021,0,0,0.18468,L,222,Auston Matthews,TOR,1293.1923
63,28,68,0.44332000000000005,6,80,39,Pettersson,3,14,8480012,16,102,1.275,C,6,25,20222023,5,9,0.15175000000000002,L,257,Elias Pettersson,VAN,1233.2875
