faceoffWinPct,gameDate,homeRoad,opponentTeamAbbrev,penaltyKillPct,powerPlayPct,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,wins,daysSinceLastGame,winStreak,gamesPlayed
0.423728,2023-10-12,H,DET,0.5,0.1666659999999999,35.0,27.0,New Jersey Devils,1,1,0,0,0
0.491803,2023-10-13,H,ARI,0.714286,0.3999999999999999,33.0,36.0,New Jersey Devils,1,0,1,1,1
0.4838699999999999,2023-10-16,H,FLA,0.75,0.3999999999999999,30.0,34.0,New Jersey Devils,1,0,3,0,2
0.4833329999999999,2023-10-20,R,NYI,1.0,0.7999999999999999,32.0,39.0,New Jersey Devils,1,1,4,0,3
0.6333329999999999,2023-10-24,R,MTL,0.75,0.5,29.0,34.0,New Jersey Devils,1,1,4,1,4
0.541666,2023-10-25,H,WSH,0.666667,0.0,25.0,22.0,New Jersey Devils,1,0,1,2,5
0.607142,2023-10-27,H,BUF,1.0,0.25,27.0,39.0,New Jersey Devils,1,1,2,0,6
0.45098,2023-10-29,H,MIN,0.8333339999999999,0.666666,34.0,30.0,New Jersey Devils,1,1,2,1,7
0.632653,2023-11-02,R,MIN,0.5,0.6,25.0,38.0,New Jersey Devils,1,1,4,2,8
0.611111,2023-11-03,R,STL,1.0,0.0,35.0,34.0,New Jersey Devils,1,0,1,3,9
0.462686,2023-11-05,R,CHI,1.0,0.333333,34.0,41.0,New Jersey Devils,1,1,2,0,10
0.573529,2023-11-07,R,COL,0.7999999999999999,0.333333,32.0,23.0,New Jersey Devils,1,0,2,1,11
0.508474,2023-11-10,H,WSH,1.0,0.0,27.0,26.0,New Jersey Devils,1,0,3,0,12
0.52459,2023-11-14,R,WPG,0.5,0.3999999999999999,31.0,34.0,New Jersey Devils,1,0,4,0,13
0.5714279999999999,2023-11-16,R,PIT,1.0,0.0,23.0,31.0,New Jersey Devils,1,1,2,0,14
0.468085,2023-11-18,H,NYR,0.666667,1.0,35.0,33.0,New Jersey Devils,1,0,2,1,15
0.5,2023-11-22,R,DET,0.75,0.0,28.0,16.0,New Jersey Devils,1,0,4,0,16
0.5,2023-11-24,H,CBJ,1.0,0.0,28.0,38.0,New Jersey Devils,1,0,2,0,17
0.5714279999999999,2023-11-25,H,BUF,0.0,1.0,12.0,37.0,New Jersey Devils,1,1,1,0,18
0.603773,2023-11-28,H,NYI,0.75,0.25,26.0,33.0,New Jersey Devils,1,1,3,1,19
0.523809,2023-11-30,R,PHI,0.666667,0.1999999999999999,47.0,35.0,New Jersey Devils,1,1,2,2,20
0.548387,2023-12-01,H,SJS,,0.5,18.0,47.0,New Jersey Devils,1,0,1,3,21
0.557377,2023-12-05,R,VAN,0.75,0.5,33.0,32.0,New Jersey Devils,1,1,4,0,22
0.5090899999999999,2023-12-07,R,SEA,1.0,0.0,38.0,17.0,New Jersey Devils,1,1,2,1,23
0.5399999999999999,2023-12-09,R,CGY,,0.0,25.0,30.0,New Jersey Devils,1,1,2,2,24
0.508196,2023-12-10,R,EDM,0.666667,0.0,30.0,26.0,New Jersey Devils,1,0,1,3,25
0.491525,2023-12-13,H,BOS,1.0,0.0,24.0,35.0,New Jersey Devils,1,1,3,0,26
0.588235,2023-12-16,R,CBJ,0.75,0.5,26.0,30.0,New Jersey Devils,1,1,3,1,27
0.566037,2023-12-17,H,ANA,0.7999999999999999,0.0,28.0,29.0,New Jersey Devils,1,0,1,2,28
0.611111,2023-12-19,H,PHI,1.0,1.0,26.0,26.0,New Jersey Devils,1,0,2,0,29
0.527272,2023-12-21,H,EDM,1.0,,38.0,26.0,New Jersey Devils,1,0,2,0,30
0.509803,2023-12-23,H,DET,1.0,0.0,24.0,36.0,New Jersey Devils,1,1,2,0,31
0.517241,2023-12-27,H,CBJ,1.0,0.0,29.0,35.0,New Jersey Devils,1,1,4,1,32
0.527272,2023-12-29,R,OTT,1.0,0.5,27.0,30.0,New Jersey Devils,1,1,2,2,33
0.72549,2023-12-30,R,BOS,0.0,0.5,31.0,33.0,New Jersey Devils,1,0,1,3,34
0.573529,2024-01-03,R,WSH,0.5,0.5,26.0,28.0,New Jersey Devils,1,1,4,0,35
0.6545449999999999,2024-01-05,H,CHI,0.7999999999999999,0.0,25.0,32.0,New Jersey Devils,1,1,2,1,36
0.566666,2024-01-06,H,VAN,1.0,0.0,43.0,25.0,New Jersey Devils,1,0,1,2,37
0.5106379999999999,2024-01-11,R,TBL,1.0,0.0,20.0,30.0,New Jersey Devils,1,0,5,0,38
0.509433,2024-01-13,R,FLA,0.5,0.0,36.0,22.0,New Jersey Devils,1,1,2,0,39
0.5,2024-01-15,R,BOS,0.75,0.0,36.0,31.0,New Jersey Devils,1,0,2,1,40
0.6222219999999999,2024-01-17,H,MTL,1.0,0.5,25.0,30.0,New Jersey Devils,1,0,2,0,41
0.641509,2024-01-19,R,CBJ,1.0,0.0,30.0,33.0,New Jersey Devils,1,1,2,0,42
0.515625,2024-01-20,H,DAL,0.8333339999999999,0.0,36.0,31.0,New Jersey Devils,1,0,1,1,43
0.461538,2024-01-22,H,VGK,,0.0,32.0,38.0,New Jersey Devils,1,1,2,0,44
0.431372,2024-01-25,R,CAR,0.75,0.0,23.0,25.0,New Jersey Devils,1,0,3,1,45
0.491228,2024-01-27,R,TBL,1.0,0.0,42.0,24.0,New Jersey Devils,1,0,2,0,46
0.6290319999999999,2024-02-06,H,COL,1.0,0.0,38.0,31.0,New Jersey Devils,1,1,10,0,47
0.52459,2024-02-08,H,CGY,1.0,0.0,30.0,40.0,New Jersey Devils,1,0,2,1,48
0.454545,2024-02-10,R,CAR,1.0,0.0,32.0,34.0,New Jersey Devils,1,0,2,0,49
0.6,2024-02-12,H,SEA,1.0,0.1999999999999999,28.0,37.0,New Jersey Devils,1,1,2,0,50
0.509433,2024-02-13,R,NSH,0.5,0.0,32.0,47.0,New Jersey Devils,1,1,1,1,51
0.431818,2024-02-15,H,LAK,0.75,0.1999999999999999,29.0,27.0,New Jersey Devils,1,0,2,2,52
0.6,2024-02-17,H,PHI,0.666667,0.0,48.0,40.0,New Jersey Devils,1,1,2,0,53
0.6206889999999999,2024-02-20,R,WSH,0.0,0.0,26.0,39.0,New Jersey Devils,1,0,3,1,54
0.576271,2024-02-22,H,NYR,0.7999999999999999,0.0,18.0,40.0,New Jersey Devils,1,0,2,0,55
0.603773,2024-02-24,H,MTL,,0.5,26.0,24.0,New Jersey Devils,1,1,2,0,56
0.5714279999999999,2024-02-25,H,TBL,1.0,0.25,27.0,19.0,New Jersey Devils,1,0,1,1,57
0.646153,2023-10-14,H,BUF,1.0,0.0,28.0,29.0,New York Islanders,2,1,0,0,0
0.6599999999999999,2023-10-17,H,ARI,1.0,0.333333,14.0,34.0,New York Islanders,2,1,3,1,1
0.516666,2023-10-20,H,NJD,0.1999999999999999,0.0,39.0,32.0,New York Islanders,2,0,3,2,2
0.321428,2023-10-21,R,BUF,1.0,0.0,42.0,25.0,New York Islanders,2,0,1,0,3
0.6206889999999999,2023-10-24,H,COL,0.666667,0.1999999999999999,38.0,32.0,New York Islanders,2,0,3,0,4
0.4776109999999999,2023-10-26,H,OTT,0.875,0.25,47.0,38.0,New York Islanders,2,1,2,0,5
0.575,2023-10-28,R,CBJ,1.0,0.0,34.0,34.0,New York Islanders,2,1,2,1,6
0.515151,2023-10-30,H,DET,1.0,0.5,36.0,40.0,New York Islanders,2,0,2,2,7
0.5185179999999999,2023-11-02,R,WSH,1.0,0.0,32.0,21.0,New York Islanders,2,1,3,0,8
0.469696,2023-11-04,H,CAR,0.666667,0.0,46.0,25.0,New York Islanders,2,0,2,1,9
0.517857,2023-11-07,H,MIN,0.75,0.1999999999999999,31.0,29.0,New York Islanders,2,0,3,0,10
0.557692,2023-11-09,R,BOS,0.3333339999999999,1.0,35.0,29.0,New York Islanders,2,0,2,0,11
0.5,2023-11-11,H,WSH,1.0,0.0,28.0,37.0,New York Islanders,2,0,2,0,12
0.454545,2023-11-13,R,EDM,0.3333339999999999,0.0,32.0,33.0,New York Islanders,2,0,2,0,13
0.434782,2023-11-15,R,VAN,0.5,1.0,43.0,33.0,New York Islanders,2,0,2,0,14
0.5,2023-11-16,R,SEA,0.25,0.3999999999999999,32.0,23.0,New York Islanders,2,0,1,0,15
0.557692,2023-11-18,R,CGY,1.0,0.333333,39.0,33.0,New York Islanders,2,1,2,0,16
0.59322,2023-11-22,H,PHI,1.0,0.0,36.0,25.0,New York Islanders,2,1,4,1,17
0.590163,2023-11-24,R,OTT,0.666667,1.0,31.0,26.0,New York Islanders,2,1,2,2,18
0.5625,2023-11-25,H,PHI,1.0,0.0,40.0,25.0,New York Islanders,2,0,1,3,19
0.3962259999999999,2023-11-28,R,NJD,0.75,0.25,33.0,26.0,New York Islanders,2,0,3,0,20
0.539682,2023-11-30,R,CAR,1.0,0.25,43.0,16.0,New York Islanders,2,1,2,0,21
0.40625,2023-12-02,R,FLA,1.0,0.5,45.0,27.0,New York Islanders,2,1,2,1,22
0.507042,2023-12-05,H,SJS,1.0,0.666666,37.0,39.0,New York Islanders,2,0,3,2,23
0.460317,2023-12-07,H,CBJ,1.0,0.5,35.0,36.0,New York Islanders,2,1,2,0,24
0.4827579999999999,2023-12-09,H,LAK,0.7999999999999999,0.0,35.0,30.0,New York Islanders,2,1,2,1,25
0.464285,2023-12-11,H,TOR,0.0,0.0,40.0,29.0,New York Islanders,2,1,2,2,26
0.514705,2023-12-13,H,ANA,0.5,0.25,24.0,35.0,New York Islanders,2,1,2,3,27
0.565789,2023-12-15,H,BOS,0.0,0.5,34.0,37.0,New York Islanders,2,0,2,4,28
0.3269229999999999,2023-12-16,R,MTL,1.0,0.0,41.0,33.0,New York Islanders,2,0,1,0,29
0.477272,2023-12-19,H,EDM,1.0,0.5,31.0,21.0,New York Islanders,2,1,3,0,30
0.5,2023-12-20,R,WSH,0.666667,0.0,36.0,32.0,New York Islanders,2,0,1,1,31
0.514705,2023-12-23,R,CAR,0.5,0.0,40.0,28.0,New York Islanders,2,1,3,0,32
0.4516119999999999,2023-12-27,H,PIT,1.0,0.0,32.0,22.0,New York Islanders,2,0,4,1,33
0.5869559999999999,2023-12-29,H,WSH,1.0,0.0,27.0,32.0,New York Islanders,2,1,2,0,34
0.390625,2023-12-31,R,PIT,1.0,0.0,38.0,38.0,New York Islanders,2,0,2,1,35
0.471698,2024-01-02,R,COL,0.6,0.333333,39.0,22.0,New York Islanders,2,0,2,0,36
0.666666,2024-01-04,R,ARI,0.5,0.5,27.0,31.0,New York Islanders,2,1,2,0,37
0.5,2024-01-06,R,VGK,0.0,0.0,30.0,29.0,New York Islanders,2,0,2,1,38
0.58,2024-01-09,H,VAN,1.0,0.5,34.0,20.0,New York Islanders,2,0,3,0,39
0.528301,2024-01-11,H,TOR,1.0,0.666666,35.0,30.0,New York Islanders,2,1,2,0,40
0.509803,2024-01-13,R,NSH,0.666667,0.0,28.0,25.0,New York Islanders,2,0,2,1,41
0.52459,2024-01-15,R,MIN,0.6,0.0,40.0,21.0,New York Islanders,2,0,2,0,42
0.460317,2024-01-16,R,WPG,0.7999999999999999,0.0,44.0,37.0,New York Islanders,2,0,1,0,43
0.540983,2024-01-19,R,CHI,1.0,0.0,24.0,30.0,New York Islanders,2,0,3,0,44
0.396551,2024-01-21,H,DAL,1.0,,43.0,28.0,New York Islanders,2,1,2,0,45
0.528301,2024-01-23,H,VGK,0.666667,0.0,27.0,42.0,New York Islanders,2,0,2,1,46
0.52,2024-01-25,R,MTL,0.6,0.375,26.0,46.0,New York Islanders,2,0,2,0,47
0.462686,2024-01-27,H,FLA,0.5,0.0,37.0,23.0,New York Islanders,2,0,2,0,48
0.5,2024-02-05,R,TOR,0.5,0.0,36.0,29.0,New York Islanders,2,1,9,0,49
0.416666,2024-02-08,H,TBL,0.5,0.25,20.0,24.0,New York Islanders,2,1,3,1,50
0.5,2024-02-10,H,CGY,0.0,0.0,24.0,36.0,New York Islanders,2,0,2,2,51
0.666666,2024-02-13,H,SEA,1.0,0.333333,30.0,27.0,New York Islanders,2,0,3,0,52
0.6818179999999999,2024-02-18,H,NYR,0.3999999999999999,1.0,37.0,41.0,New York Islanders,2,0,5,0,53
0.421875,2024-02-20,R,PIT,1.0,0.0,41.0,33.0,New York Islanders,2,1,2,0,54
0.576923,2024-02-22,R,STL,0.7999999999999999,0.0,25.0,38.0,New York Islanders,2,0,2,1,55
0.490566,2024-02-24,H,TBL,0.666667,0.1999999999999999,21.0,34.0,New York Islanders,2,0,2,0,56
0.6333329999999999,2023-10-12,R,BUF,1.0,0.25,25.0,31.0,New York Rangers,3,1,0,0,0
0.576271,2023-10-14,R,CBJ,0.0,0.333333,21.0,42.0,New York Rangers,3,0,2,1,1
0.458333,2023-10-16,H,ARI,0.7999999999999999,0.333333,27.0,28.0,New York Rangers,3,1,2,0,2
0.5399999999999999,2023-10-19,H,NSH,0.5,0.25,27.0,24.0,New York Rangers,3,0,3,1,3
0.555555,2023-10-21,R,SEA,1.0,0.0,19.0,27.0,New York Rangers,3,1,2,0,4
0.3962259999999999,2023-10-24,R,CGY,1.0,0.3999999999999999,26.0,20.0,New York Rangers,3,1,3,1,5
0.584905,2023-10-26,R,EDM,1.0,0.333333,29.0,32.0,New York Rangers,3,1,2,2,6
0.5714279999999999,2023-10-28,R,VAN,0.8333339999999999,0.5,33.0,24.0,New York Rangers,3,1,2,3,7
0.559322,2023-10-30,R,WPG,1.0,0.333333,29.0,26.0,New York Rangers,3,1,2,4,8
0.516129,2023-11-02,H,CAR,0.5,0.1999999999999999,27.0,26.0,New York Rangers,3,1,3,5,9
0.591836,2023-11-04,R,MIN,1.0,0.0,39.0,18.0,New York Rangers,3,0,2,6,10
0.584905,2023-11-07,H,DET,1.0,0.666666,28.0,32.0,New York Rangers,3,1,3,0,11
0.5869559999999999,2023-11-09,H,MIN,1.0,1.0,26.0,28.0,New York Rangers,3,1,2,1,12
0.652173,2023-11-12,H,CBJ,1.0,0.0,28.0,40.0,New York Rangers,3,1,3,2,13
0.531914,2023-11-18,R,NJD,0.0,0.333333,33.0,35.0,New York Rangers,3,1,6,3,14
0.4655169999999999,2023-11-20,R,DAL,0.666667,0.25,36.0,33.0,New York Rangers,3,0,2,4,15
0.4754089999999999,2023-11-22,R,PIT,1.0,0.0,32.0,36.0,New York Rangers,3,1,2,0,16
0.535714,2023-11-24,R,PHI,1.0,0.0,37.0,19.0,New York Rangers,3,1,2,1,17
0.585714,2023-11-25,H,BOS,0.666667,0.333333,31.0,40.0,New York Rangers,3,1,1,2,18
0.7234039999999999,2023-11-27,H,BUF,1.0,0.333333,39.0,26.0,New York Rangers,3,0,2,3,19
0.6599999999999999,2023-11-29,H,DET,0.7999999999999999,0.0,27.0,41.0,New York Rangers,3,1,2,0,20
0.575757,2023-12-02,R,NSH,0.75,0.5,40.0,25.0,New York Rangers,3,1,3,1,21
0.535714,2023-12-03,H,SJS,0.5,0.333333,28.0,36.0,New York Rangers,3,1,1,2,22
0.557377,2023-12-05,R,OTT,1.0,0.25,36.0,35.0,New York Rangers,3,0,2,3,23
0.396551,2023-12-09,R,WSH,1.0,0.0,29.0,31.0,New York Rangers,3,0,4,0,24
0.62745,2023-12-10,H,LAK,0.666667,0.3999999999999999,26.0,27.0,New York Rangers,3,1,1,0,25
0.4727269999999999,2023-12-12,H,TOR,0.666667,0.5,30.0,31.0,New York Rangers,3,0,2,1,26
0.52459,2023-12-15,H,ANA,1.0,0.333333,30.0,39.0,New York Rangers,3,1,3,0,27
0.58,2023-12-16,R,BOS,1.0,0.1666659999999999,22.0,34.0,New York Rangers,3,1,1,1,28
0.553191,2023-12-19,R,TOR,,1.0,33.0,36.0,New York Rangers,3,1,3,2,29
0.4107139999999999,2023-12-22,H,EDM,1.0,0.333333,28.0,34.0,New York Rangers,3,0,3,3,30
0.533333,2023-12-23,H,BUF,1.0,0.25,30.0,33.0,New York Rangers,3,1,1,0,31
0.5,2023-12-27,H,WSH,1.0,0.333333,27.0,31.0,New York Rangers,3,1,4,1,32
0.423728,2023-12-29,R,FLA,0.666667,0.0,33.0,34.0,New York Rangers,3,0,2,2,33
0.464285,2023-12-30,R,TBL,0.666667,0.5,35.0,21.0,New York Rangers,3,1,1,0,34
0.491525,2024-01-02,H,CAR,0.5,0.0,27.0,29.0,New York Rangers,3,0,3,1,35
0.644444,2024-01-04,H,CHI,1.0,0.5,23.0,32.0,New York Rangers,3,1,2,0,36
0.5,2024-01-06,R,MTL,1.0,0.0,30.0,48.0,New York Rangers,3,0,2,1,37
0.59322,2024-01-08,H,VAN,,0.5,26.0,42.0,New York Rangers,3,0,2,0,38
0.543478,2024-01-11,R,STL,0.5,0.333333,20.0,43.0,New York Rangers,3,0,3,0,39
0.694915,2024-01-13,R,WSH,1.0,0.0,21.0,27.0,New York Rangers,3,0,2,0,40
0.421052,2024-01-14,H,WSH,1.0,0.0,25.0,31.0,New York Rangers,3,1,1,0,41
0.674418,2024-01-16,H,SEA,0.0,0.5,31.0,23.0,New York Rangers,3,1,2,1,42
0.5,2024-01-18,R,VGK,0.666667,0.333333,26.0,30.0,New York Rangers,3,0,2,2,43
0.44,2024-01-20,R,LAK,1.0,0.0,26.0,23.0,New York Rangers,3,0,2,0,44
0.4754089999999999,2024-01-21,R,ANA,1.0,0.5,18.0,33.0,New York Rangers,3,1,1,0,45
0.603448,2024-01-23,R,SJS,1.0,0.0,22.0,31.0,New York Rangers,3,0,2,1,46
0.491803,2024-01-26,H,VGK,1.0,0.0,20.0,38.0,New York Rangers,3,0,3,0,47
0.534482,2024-01-27,R,OTT,0.0,0.0,31.0,29.0,New York Rangers,3,1,1,0,48
0.555555,2024-02-05,H,COL,1.0,0.0,33.0,29.0,New York Rangers,3,1,9,1,49
0.5,2024-02-07,H,TBL,1.0,0.0,18.0,24.0,New York Rangers,3,1,2,2,50
0.3928569999999999,2024-02-09,R,CHI,1.0,0.0,31.0,35.0,New York Rangers,3,1,2,3,51
