gameDate,home_id,homeTeam,away_id,awayTeam
2024-02-26,15,WSH,9,OTT
2024-02-26,25,DAL,2,NYI
2024-02-26,22,EDM,26,LAK
2024-02-26,55,SEA,6,BOS
2024-02-27,17,DET,15,WSH
2024-02-27,13,FLA,7,BUF
2024-02-27,8,MTL,53,ARI
2024-02-27,4,PHI,14,TBL
2024-02-27,10,TOR,54,VGK
2024-02-27,30,MIN,12,CAR
2024-02-27,18,NSH,9,OTT
2024-02-27,52,WPG,19,STL
2024-02-27,20,CGY,26,LAK
2024-02-27,21,COL,25,DAL
2024-02-27,23,VAN,5,PIT
2024-02-27,28,SJS,1,NJD
2024-02-28,3,NYR,29,CBJ
2024-02-28,22,EDM,19,STL
2024-02-29,6,BOS,54,VGK
2024-02-29,29,CBJ,12,CAR
2024-02-29,17,DET,2,NYI
2024-02-29,13,FLA,8,MTL
2024-02-29,14,TBL,7,BUF
2024-02-29,10,TOR,53,ARI
2024-02-29,25,DAL,52,WPG
2024-02-29,18,NSH,30,MIN
2024-02-29,16,CHI,21,COL
2024-02-29,55,SEA,5,PIT
2024-02-29,23,VAN,26,LAK
2024-02-29,28,SJS,24,ANA
2024-03-01,9,OTT,53,ARI
2024-03-01,15,WSH,4,PHI
2024-03-01,24,ANA,1,NJD
2024-03-02,12,CAR,52,WPG
2024-03-02,17,DET,13,FLA
2024-03-02,55,SEA,22,EDM
2024-03-02,18,NSH,21,COL
2024-03-02,19,STL,30,MIN
2024-03-02,7,BUF,54,VGK
2024-03-02,4,PHI,9,OTT
2024-03-02,14,TBL,8,MTL
2024-03-02,10,TOR,3,NYR
2024-03-02,2,NYI,6,BOS
2024-03-02,16,CHI,29,CBJ
2024-03-02,25,DAL,28,SJS
2024-03-02,20,CGY,5,PIT
2024-03-03,15,WSH,53,ARI
2024-03-03,26,LAK,1,NJD
2024-03-03,7,BUF,52,WPG
2024-03-03,30,MIN,28,SJS
2024-03-03,24,ANA,23,VAN
2024-03-03,22,EDM,5,PIT
2024-03-04,29,CBJ,54,VGK
2024-03-04,3,NYR,13,FLA
2024-03-04,4,PHI,19,STL
2024-03-04,10,TOR,6,BOS
2024-03-04,21,COL,16,CHI
2024-03-04,20,CGY,55,SEA
2024-03-05,1,NJD,13,FLA
2024-03-05,5,PIT,29,CBJ
2024-03-05,6,BOS,22,EDM
2024-03-05,2,NYI,19,STL
2024-03-05,18,NSH,8,MTL
2024-03-05,52,WPG,55,SEA
2024-03-05,53,ARI,16,CHI
2024-03-05,26,LAK,23,VAN
2024-03-05,28,SJS,25,DAL
2024-03-06,10,TOR,7,BUF
2024-03-06,21,COL,17,DET
2024-03-06,24,ANA,9,OTT
2024-03-07,6,BOS,10,TOR
2024-03-07,12,CAR,8,MTL
2024-03-07,29,CBJ,22,EDM
2024-03-07,13,FLA,4,PHI
2024-03-07,1,NJD,19,STL
2024-03-07,5,PIT,15,WSH
2024-03-07,14,TBL,20,CGY
2024-03-07,18,NSH,7,BUF
2024-03-07,53,ARI,30,MIN
2024-03-07,54,VGK,23,VAN
2024-03-07,26,LAK,9,OTT
2024-03-07,28,SJS,2,NYI
2024-03-08,53,ARI,17,DET
2024-03-08,21,COL,30,MIN
2024-03-08,24,ANA,25,DAL
2024-03-08,55,SEA,52,WPG
2024-03-09,7,BUF,22,EDM
2024-03-09,29,CBJ,18,NSH
2024-03-09,1,NJD,12,CAR
2024-03-09,6,BOS,5,PIT
2024-03-09,13,FLA,20,CGY
2024-03-09,8,MTL,10,TOR
2024-03-09,28,SJS,9,OTT
2024-03-09,14,TBL,4,PHI
2024-03-09,15,WSH,16,CHI
2024-03-09,3,NYR,19,STL
2024-03-09,23,VAN,52,WPG
2024-03-09,54,VGK,17,DET
2024-03-09,26,LAK,25,DAL
2024-03-10,5,PIT,22,EDM
2024-03-10,30,MIN,18,NSH
2024-03-10,12,CAR,20,CGY
2024-03-10,16,CHI,53,ARI
2024-03-10,24,ANA,2,NYI
2024-03-11,6,BOS,19,STL
2024-03-11,3,NYR,1,NJD
2024-03-11,52,WPG,15,WSH
2024-03-11,26,LAK,2,NYI
2024-03-12,7,BUF,17,DET
2024-03-12,12,CAR,3,NYR
2024-03-12,8,MTL,29,CBJ
2024-03-12,9,OTT,5,PIT
2024-03-12,4,PHI,28,SJS
2024-03-12,25,DAL,13,FLA
2024-03-12,30,MIN,53,ARI
2024-03-12,16,CHI,24,ANA
2024-03-12,20,CGY,21,COL
2024-03-12,55,SEA,54,VGK
2024-03-13,19,STL,26,LAK
2024-03-13,52,WPG,18,NSH
2024-03-13,22,EDM,15,WSH
2024-03-13,23,VAN,21,COL
2024-03-14,7,BUF,2,NYI
2024-03-14,12,CAR,13,FLA
2024-03-14,29,CBJ,9,OTT
2024-03-14,17,DET,53,ARI
2024-03-14,8,MTL,6,BOS
2024-03-14,5,PIT,28,SJS
